,RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,id,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
5206,20260104-102715,11.0500001907,11.0500001907,90.7622756958,90.7622756958,0.035984505,0.0724645138,1.4064506173,1.3805276155,73.1999969482,64.2574987411,23494.0,23280.0666992188,3133.3332519531,3133.3332519531,0.3333333433,0.0166666672,853.0,853.0,14.0454654694,9.0752658129,0.0,0.0,11055,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,512,0.000232,20480,0.008121,0.123,0.946,4.0,linear,True,128,3,simple,,,5,250000,64,12000
5207,20260104-102857,9.2182626724,11.0810012817,256.1933898926,261.8679504395,0.0176365443,0.1931200197,1.4181092018,1.4149703979,76.0333328247,64.4276424501,23425.333984375,23309.1830221037,3133.3332519531,3133.3332519531,0.0,0.0,853.0,853.0,16.1934604645,10.6256770971,0.0,0.0,11056,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,2048,3e-05,40960,0.006151,0.166,0.903,8.0,linear,True,512,2,simple,,,5,500000,2048,12000
5208,20260104-103340,1.3665297031,1.4199578762,158.3773345947,197.9830932617,0.0128419027,0.0526050391,1.4077595269,1.3965524435,74.5500030518,64.5459350028,23670.333984375,23447.8375095274,3133.3332519531,3133.3332519531,0.3333333433,0.0487804893,853.0,853.0,14.2008037567,10.1591452157,0.0,0.0,11057,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,4096,0.000201,163840,0.001191,0.207,0.922,5.0,constant,False,512,2,simple,,,5,500000,128,12000
5209,20260104-103738,1.3150905371,1.3724279404,431.8922424316,579.3886108398,0.0125151618,0.0493800056,1.4145328467,1.4072372913,76.25,65.6516061806,24017.666015625,23643.7590596762,3133.3332519531,3133.3332519531,0.6666666865,0.034136547,853.0,853.0,14.7030687332,10.0971775572,0.0,0.0,11058,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,4096,0.000292,327680,0.000309,0.154,0.926,8.0,linear,False,512,2,simple,,,5,1000000,1024,12000
5210,20260104-104725,89.2642974854,98.325012207,99.950920105,107.2461853027,0.0351256176,0.0171749557,1.4032630622,1.3877048492,71.0666656494,63.7466667175,23267.5,23196.4416992188,3133.3332519531,3133.3332519531,0.0,0.0,853.0,853.0,13.0102739334,9.6616760015,0.0,0.0,11059,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,512,0.000119,20480,0.007482,0.271,0.931,4.0,linear,True,512,3,simple,,,5,250000,1024,12000
5211,20260104-104925,1.2059614658,1.2526417971,10.4464263916,37.435459137,0.0172600579,0.1510953158,1.4192133248,1.4208124876,71.4000015259,65.6208333969,23356.0,23270.9375,3133.3332519531,3133.3332519531,0.0,0.0,853.3333129883,853.0416641235,12.8002119064,10.406657517,0.0,0.0,11060,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,2048,0.000216,81920,0.006826,0.159,0.925,5.0,constant,False,64,2,simple,,,5,100000,1024,12000
5212,20260104-105010,85.9785766602,100.0000076294,53.0188560486,422.3877563477,0.0344496438,0.0710574694,1.3830260699,1.3319200277,78.6999969482,64.4365457742,23388.0,23161.799204631,3133.3332519531,3133.3332519531,1.5,0.076305221,853.0,853.0,14.4808511734,9.3135675809,0.0,0.0,11061,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,512,0.000154,10240,0.003573,0.194,0.946,5.0,constant,True,512,2,simple,,,5,1000000,64,12000
5213,20260104-105722,91.3538589478,100.0000152588,494.6390075684,1045.9533691406,0.0249570974,0.00609312,1.3194264547,1.3332937956,77.0500030518,65.6069278257,23644.0,23324.2168792357,3133.3332519531,3133.3332519531,2.0,0.0361445785,853.5,853.0030120482,18.7484531403,11.2296426698,0.0,0.0,11062,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,1024,0.000128,81920,0.007103,0.212,0.934,10.0,constant,False,256,2,simple,,,5,2000000,256,12000
5214,20260104-111456,1.4374206066,1.5071738958,100.4260177612,106.8473510742,0.0258766819,0.1330703437,1.416680181,1.4099509716,78.0500030518,65.1691673279,23427.0,23275.4165039062,3133.3332519531,3133.3332519531,0.6666666865,0.0916666687,853.0,853.0,13.7743587494,10.4133333206,0.0,0.0,11063,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,1024,0.000258,40960,0.006131,0.146,0.937,8.0,linear,False,32,2,simple,,,5,250000,1024,12000
5215,20260104-111701,5.2470273972,5.6324028969,347.1202697754,370.4323425293,0.0173563465,0.2375608987,1.408180333,1.3970204592,81.4000015259,65.5407629358,23631.333984375,23326.9939759036,3133.3332519531,3133.3332519531,0.3333333433,0.032128515,853.0,853.0,14.6839752197,10.2237865207,0.0,0.0,11064,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,2048,0.000169,81920,0.000455,0.176,0.912,4.0,linear,True,256,1,simple,,,5,1000000,256,12000
