run_id,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20251123-122212,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000244,81920,0.003426,0.26,0.904,5,linear,True,128,3,simple,,,5,250000,128,12000
20251123-122542,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,6.2e-05,327680,0.006119,0.121,0.921,10,linear,True,256,2,simple,,,5,500000,1024,12000
20251123-123324,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000239,81920,0.002372,0.158,0.936,3,constant,False,128,1,simple,,,5,100000,2048,12000
20251123-123438,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000293,81920,0.001004,0.162,0.911,4,linear,True,256,2,simple,,,5,1000000,1024,12000
20251123-124607,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000131,40960,0.004851,0.128,0.922,10,constant,True,64,3,simple,,,5,100000,64,12000
20251123-124750,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000148,40960,0.007612,0.277,0.948,3,linear,True,512,2,simple,,,5,250000,128,12000
20251123-125102,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,7.1e-05,10240,0.005653,0.262,0.936,10,linear,False,64,3,simple,,,5,500000,1024,12000
20251123-125845,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000149,327680,0.005933,0.102,0.92,3,constant,False,128,2,simple,,,5,100000,512,12000
20251123-125948,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000211,81920,0.002375,0.164,0.912,4,linear,False,32,3,simple,,,5,100000,2048,12000
20251123-130109,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,5.2e-05,327680,0.002483,0.239,0.931,3,constant,False,128,2,simple,,,5,2000000,512,12000
20251123-132316,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000177,20480,0.008029,0.204,0.917,4,constant,True,128,1,simple,,,5,500000,1024,12000
20251123-132903,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000173,81920,0.001558,0.291,0.916,5,constant,False,64,2,simple,,,5,100000,128,12000
20251123-133031,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.00012,40960,0.000243,0.225,0.9,8,linear,True,128,2,simple,,,5,1000000,512,12000
20251123-134446,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,6.1e-05,10240,0.000866,0.111,0.948,10,linear,True,128,3,simple,,,5,100000,512,12000
20251123-134613,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.00027,20480,0.009294,0.219,0.91,5,linear,True,256,1,simple,,,5,100000,2048,12000
20251123-134716,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,7.7e-05,40960,0.008996,0.268,0.947,10,linear,False,128,3,simple,,,5,250000,2048,12000
20251123-135035,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000147,20480,0.007704,0.297,0.945,5,linear,False,512,3,simple,,,5,1000000,128,12000
20251123-140153,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000114,20480,0.001403,0.157,0.932,5,constant,True,256,1,simple,,,5,100000,128,12000
20251123-140305,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000293,163840,0.00432,0.195,0.931,3,constant,True,512,3,simple,,,5,500000,128,12000
20251123-140826,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000105,81920,0.000884,0.201,0.906,8,constant,True,128,2,simple,,,5,250000,64,12000
20251123-141126,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000139,81920,0.0077,0.124,0.911,10,constant,True,512,2,simple,,,5,100000,2048,12000
20251123-141259,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000254,20480,0.005893,0.208,0.936,10,linear,True,128,1,simple,,,5,500000,2048,12000
20251123-141905,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,1.5e-05,81920,0.004117,0.129,0.937,4,constant,True,64,2,simple,,,5,1000000,1024,12000
20251123-142747,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000105,20480,0.001738,0.161,0.93,4,constant,False,128,1,simple,,,5,2000000,512,12000
20251123-144344,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,6.9e-05,81920,0.007142,0.236,0.942,10,constant,True,128,3,simple,,,5,100000,64,12000
20251123-144513,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,9.8e-05,327680,0.005261,0.178,0.932,10,constant,False,512,1,simple,,,5,500000,64,12000
20251123-145114,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,6.5e-05,163840,0.006557,0.141,0.944,4,constant,False,64,1,simple,,,5,250000,64,12000
20251123-145335,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000227,81920,0.007029,0.174,0.946,3,linear,False,256,3,simple,,,5,250000,128,12000
20251123-145612,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.00028,81920,0.000646,0.245,0.903,10,linear,False,512,1,simple,,,5,2000000,128,12000
20251123-152106,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000278,40960,0.002016,0.281,0.906,3,linear,False,512,1,simple,,,5,2000000,1024,12000
20251123-153643,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000281,40960,0.00094,0.151,0.943,8,linear,True,128,2,simple,,,5,1000000,64,12000
20251123-154810,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,4.8e-05,81920,0.002106,0.176,0.935,4,linear,False,32,2,simple,,,5,250000,1024,12000
20251123-155035,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000118,40960,0.005849,0.238,0.924,5,linear,True,32,1,simple,,,5,100000,256,12000
20251123-155141,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,6.2e-05,81920,0.008313,0.299,0.921,8,constant,False,64,1,simple,,,5,2000000,1024,12000
20251123-165723,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000269,20480,0.009581,0.263,0.941,3,linear,True,128,3,simple,,,5,1000000,128,12000
