RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb
20251123-052120,1.179657817,1.179657817,38.6775589,38.6775589,,,1.418938264125,1.418938279,2.666666746,2.07916669525,10380.0,10294.75,2267.333252,2267.333252,8.5,1.958333335875,1119.0,1118.9375,0.754328907,0.595806662125,0.0,0.0
20251123-052209,18.18615723,18.87580872,1005.832703,1038.868652,0.012262633,0.08613046025,1.4078607236144578,1.376230955,7.849999905,2.6472891630301203,10385.66699,10342.624511626507,2267.333252,2267.333252,2.0,1.131526107186747,1119.0,1119.0,1.261793375,0.6745253950301205,0.0,0.0
20251123-053940,1.237816691,1.335902572,167.78479,239.7266693,0.0115075099999999,1.272930145,1.419125644097561,1.419286966,5.699999809,2.467886152780488,10522.33301,10378.7357802439,2267.3332520000004,2267.333252,13.0,1.296747970902439,1119.0,1119.0,0.945717633,0.6411726038780488,0.0,0.0
20251123-054351,1.190822124,1.24648428,473.0905151,551.4352417,0.0130794016666666,0.2221898336666666,1.4127496982891563,1.404253721,6.099999905,2.341365460180723,10897.5,10568.939759036144,2267.3332520000004,2267.333252,8.5,1.0963855450602409,1119.0,1119.0,0.993816733,0.6552838044457832,0.0,0.0
20251123-055313,1.773684144,1.773684144,140.4268341,140.4268341,0.0170009115,0.050624611,1.40336048,1.38619864,7.800000191,2.68083332185,10361.0,10299.258301,2267.333252,2267.333252,1.333333373,1.0166666731,1119.0,1119.0,0.901356936,0.6395909548000001,0.0,0.0
20251123-055609,2.214875937,2.218231916,127.4824295,131.7671204,0.0242508043636363,0.0732635700909091,1.42019925715,1.414245725,6.699999809,3.0774999737,10252.33301,10230.866699,2267.333252,2267.333252,13.0,1.6166666657,1119.0,1119.0,0.945530534,0.6577899365500001,0.0,0.0
20251123-055836,87.36429596,93.55386353,232.8463593,264.1152649,0.0355701360869565,0.0870654144782608,1.4111841713170732,1.40560782,9.5,3.473170752853658,10244.0,10229.369926585368,2267.3332520000004,2267.333252,3.5,1.3211382119024389,1120.0,1120.0,1.240037918,0.6841720474146342,0.0,0.0
20251123-060316,100.0000153,100.0000153,359.6258545,1985.500977,0.0240606558333333,0.0012505364999999,1.1261046040301204,0.98460573,9.649999619,4.15481928456024,10489.5,10390.835337469878,2267.333252,2267.333252,8.0,1.4066265056686746,1120.0,1120.0,1.141722202,0.7298827591686747,0.0,0.0
20251123-063633,13.6407423,13.6407423,1116.246216,1116.246216,0.012888404,0.2566246961666666,1.415191572114458,1.405553937,8.850000381,2.6897590329156627,10631.66699,10496.971897289155,2267.333252,2267.333252,14.0,1.133534139536145,1120.0,1120.0,1.197141051,0.6796880123915663,0.0,0.0
20251123-065520,1.130983233,1.204807639,292.8821411,306.0275879,0.011479901,0.661696851,1.4155773331463417,1.408875108,4.349999905,2.3162601575365853,10915.0,10535.207340731708,2267.3332520000004,2267.333252,8.5,1.2642276432439026,1120.0,1120.0,1.0200212,0.6718259693902439,0.0,0.0
20251123-070039,100.0000153,100.0000153,191.8439636,237.1858978,0.035093254,0.082254205,1.3450572636097562,1.215543628,7.150000095,3.665447147829268,10327.0,10306.922732682928,2267.3332520000004,2267.333252,8.0,1.3414634146585367,1120.0,1120.0,1.406031013,0.6842393649756098,0.0,0.0
20251123-070454,6.612987995,7.326057434,223.6029663,227.5314026,0.0252950906666666,0.0622047175,1.4238915065609754,1.409387589,8.600000381,2.806504101243902,10324.5,10300.878025121952,2267.3332520000004,2267.333252,2.0,1.0162601660243902,1121.0,1120.9878048780488,1.071562171,0.6727057731463415,0.0,0.0
20251123-070857,10.64653587,10.64653587,703.8048096,703.8048096,0.0129777894999999,0.0871760515833333,1.3731929479638554,1.294923902,8.550000191,2.7582329223975903,10377.66699,10307.88757746988,2267.3332520000004,2267.333252,9.5,1.2048192807108435,1121.0,1121.0,1.155305624,0.7055652933493974,0.0,0.0
20251123-072051,100.0000153,100.0000153,149.0062714,221.1078644,0.034399592173913,0.0400318016086956,1.2986150311463416,1.162560225,7.0,2.890650409073171,10190.5,10178.62197487805,2267.3332520000004,2267.333252,2.0,1.2682926829268293,1121.0,1121.0,1.113209963,0.7310863390975609,0.0,0.0
20251123-072446,100.0000153,100.0000153,124.7964859,231.3358154,0.025073181347826,0.0098480160869565,1.3829407982682926,1.361693621,7.949999809,3.921544726243903,10237.0,10224.016244390245,2267.3332520000004,2267.333252,2.0,1.504065042585366,1121.0,1121.0,1.171581507,0.6895446203414635,0.0,0.0
20251123-072849,100.0000153,100.0000153,453.7506104,943.1682739,0.018017754375,0.04190788225,1.299004990626506,1.174458385,7.699999809,2.8905622478313253,10397.0,10343.138536686747,2267.333252,2267.333252,2.0,1.299196789066265,1121.0,1121.0,1.308871746,0.7301756490542168,0.0,0.0
20251123-074443,1.290059566,1.290059566,56.72977829,56.72977829,0.024427483,0.182302713,1.418975770375,1.419193864,3.866666555,2.387500003,10351.33301,10274.68737875,2267.333252,2267.333252,1.666666627,1.04166666425,1122.0,1122.0,0.816212177,0.6289721538749999,0.0,0.0
20251123-074550,20.89615631,20.89615631,1111.991089,1111.991089,0.0138458434999999,0.0422883843333333,1.4122664777168676,1.375319839,9.399999619,2.291365452566265,10875.0,10593.15160253012,2267.333252,2267.333252,2.0,1.0331325322951808,1122.0,1122.0,1.321208954,0.6910470569397591,0.0,0.0
20251123-080433,1.40062499,1.40062499,82.00068665,82.00068665,0.0355015455,0.051488111,1.4151421635,1.409891486,4.166666508,2.691666618125,10276.66699,10243.50012125,2267.333252,2267.333252,1.0,1.0,1122.0,1122.0,0.751141965,0.5939074755,0.0,0.0
20251123-080605,4.142358303,4.142358303,130.8703918,130.8703918,0.0348896511818181,0.2661572356363637,1.3880626858,1.366145492,6.849999905,2.79499998695,10214.0,10201.9416505,2267.333252,2267.333252,1.666666627,1.0583333373,1122.0,1122.0,0.934748888,0.6170068101,0.0,0.0
20251123-080832,89.19231415,89.19231415,1054.635376,1054.635376,0.0132587919166666,0.0199181655,1.3486602199698796,1.250054598,7.0,2.5875502006506026,10564.0,10429.292162831323,2267.333252,2267.333252,2.0,1.132530124439759,1122.0,1122.0,1.40168047,0.7073709262409639,0.0,0.0
20251123-082617,100.0000076,100.0000076,1057.861694,1057.861694,0.0133641402499999,0.01527971175,1.3483505478373494,1.244619489,7.099999905,2.634036145301205,10577.0,10445.38754240964,2267.333252,2267.333252,2.0,1.1084337374638555,1122.0,1122.0,1.248686671,0.7123245642168674,0.0,0.0
20251123-084406,1.224177957,1.289242983,234.1546326,283.9447937,0.012644938,0.306080878,1.418020039097561,1.416189075,5.333333492,2.242682925073171,10855.5,10485.776391219511,2267.3332520000004,2267.333252,1.333333373,0.9756097605121952,1123.0,1123.0,0.971173584,0.644171962707317,0.0,0.0
